url,current_status,registration_number,signature_collection,datetime
https://citizens-initiative.europa.eu/initiatives/details/2024/000006_en,Unsuccessful collection,ECI(2024)000006,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2026/000003_en,Collection ongoing,ECI(2026)000003,,
https://citizens-initiative.europa.eu/initiatives/details/2026/000004_en,Registered,ECI(2026)000004,Signature collection starting soon,
https://citizens-initiative.europa.eu/initiatives/details/2025/000006_en,Collection ongoing,ECI(2025)000006,,
https://citizens-initiative.europa.eu/initiatives/details/2026/000001_en,Collection ongoing,ECI(2026)000001,,
https://citizens-initiative.europa.eu/initiatives/details/2024/000004_en,Answered initiative,ECI(2024)000004,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2026/000002_en,Collection ongoing,ECI(2026)000002,,
https://citizens-initiative.europa.eu/initiatives/details/2025/000001_en,Collection closed,ECI(2025)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2024/000010_en,Unsuccessful collection,ECI(2024)000010,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en,Valid initiative,ECI(2024)000007,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2024/000011_en,Collection closed,ECI(2024)000011,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2025/000005_en,Collection ongoing,ECI(2025)000005,,
https://citizens-initiative.europa.eu/initiatives/details/2025/000002_en,Collection ongoing,ECI(2025)000002,,
https://citizens-initiative.europa.eu/initiatives/details/2024/000009_en,Unsuccessful collection,ECI(2024)000009,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2025/000004_en,Registered,ECI(2025)000004,Signature collection starting soon,
https://citizens-initiative.europa.eu/initiatives/details/2024/000008_en,Verification,ECI(2024)000008,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2024/000001_en,Valid initiative,ECI(2024)000001,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2019/000007_en,Answered initiative,ECI(2019)000007,Signature collection closed,
https://citizens-initiative.europa.eu/initiatives/details/2025/000003_en,Collection ongoing,ECI(2025)000003,,
https://citizens-initiative.europa.eu/initiatives/details/2023/000008_en,Unsuccessful collection,ECI(2023)000008,Signature collection closed,
